date,0,3,5,7,8,11,12,13,14,16,18,19,20,22,23,24,25,28,29,30,31,32,33,34,35,36,37,38,39,41,43,44,45,46,47,48,49,50,53,54,55,56,57,59,60,61,63,64,65,66,67,68,69,70,71,73,74,75,76,77,78,82,83,84,89,93,94,95,96,97,98,99,100,101,102,104,105,107,108,112,113,118,119,120,121,122,123,124,137,138,143,144,145,146,147,148,154,157,158,166,168,170,174,179,180,182,184,185,188,189,191,195,198,202,203,205,206,208,210,211
2004-01-01,38,54,88,54,46,49,75,57,76,44,50,79,41,82,71,88,98,58,57,87,93,96,53,69,69,19,35,63,36,60,81,53,52,58,60,66,100,45,97,75,42,84,56,82,86,5,38,45,60,65,63,45,42,41,34,48,62,84,74,90,64,72,85,63,47,28,46,77,54,63,46,13,75,51,58,59,23,91,45,28,59,41,57,71,24,25,71,45,35,50,36,26,61,26,25,67,39,75,49,73,50,43,97,67,46,70,79,63,49,83,62,78,49,48,69,51,61,72,93,5
2004-02-01,40,53,83,54,46,45,75,55,73,43,46,76,39,73,67,77,99,61,59,79,99,91,52,67,67,19,34,63,33,54,77,55,51,58,63,65,83,44,97,71,42,76,50,72,84,5,34,45,57,64,66,43,39,40,35,44,58,82,67,95,58,52,79,70,49,32,44,78,52,47,41,17,55,68,56,52,23,99,42,29,51,46,62,60,19,26,53,50,42,48,41,22,76,30,30,55,37,72,48,70,47,57,96,68,39,67,82,59,50,63,60,79,48,86,69,52,59,71,72,5
2004-03-01,40,54,84,63,45,49,77,58,76,46,47,84,43,80,73,83,92,61,61,76,99,90,52,68,71,20,35,60,37,56,75,56,53,67,65,67,100,45,99,73,44,87,51,72,90,4,29,47,58,69,67,45,40,38,35,51,70,87,82,94,56,66,90,51,50,26,45,67,57,60,41,11,48,48,57,59,25,91,44,29,62,50,62,59,22,25,57,50,39,49,40,25,66,31,28,42,39,68,52,79,43,45,100,74,57,67,83,63,53,75,65,85,47,43,73,55,61,67,78,5
2004-04-01,47,58,85,60,48,53,77,58,76,44,50,77,46,76,62,83,92,62,65,79,100,89,52,68,71,23,37,64,38,57,76,59,52,68,69,71,86,46,98,70,47,82,53,73,82,5,38,56,64,74,71,47,41,41,35,52,64,86,74,95,60,77,95,69,54,34,49,65,61,61,41,13,53,63,56,60,25,93,45,28,63,67,74,62,24,26,39,55,45,41,45,27,66,32,26,54,40,72,57,72,47,52,95,81,62,65,82,60,59,82,65,86,60,74,79,72,77,72,73,6
2004-05-01,40,56,85,50,47,54,75,58,76,45,51,77,51,79,61,87,88,61,62,74,96,87,52,71,73,21,34,59,39,56,69,60,52,66,70,71,81,49,100,67,46,83,53,77,79,5,40,57,67,74,73,48,40,44,37,60,70,78,71,88,60,66,79,70,56,36,49,64,61,56,39,15,54,50,61,58,27,78,44,32,62,64,71,69,27,25,54,45,36,54,47,43,70,30,20,47,40,68,55,83,54,63,95,76,65,62,84,61,55,74,66,79,55,51,83,72,74,73,74,7
2004-06-01,30,58,84,58,49,55,81,63,77,48,55,80,56,76,62,86,88,66,70,76,98,86,47,70,75,21,41,66,39,60,76,60,54,63,73,72,86,57,100,68,52,84,56,73,83,6,45,54,68,72,76,52,44,48,36,54,94,85,73,100,64,55,76,70,62,38,50,72,65,69,37,16,60,60,66,61,32,94,44,28,78,52,64,66,27,26,42,47,38,57,46,33,64,35,34,51,45,73,56,73,53,61,91,86,71,65,83,61,56,86,74,86,52,57,86,81,78,76,66,7
2004-07-01,76,52,79,56,47,52,70,60,68,42,51,70,51,53,47,75,75,64,71,73,86,83,45,63,67,20,43,67,37,59,69,57,47,54,70,65,72,55,87,58,56,76,39,64,73,6,39,56,71,66,86,46,43,38,35,51,87,76,62,85,62,43,68,61,66,35,49,60,64,51,39,13,49,49,66,59,29,82,36,26,65,65,64,60,23,25,38,46,45,58,44,36,67,35,34,38,36,70,54,63,39,63,78,90,60,57,73,57,54,76,66,82,42,65,91,88,85,81,74,6
2004-08-01,52,51,75,52,47,53,63,60,66,37,50,62,53,53,45,68,61,51,67,72,77,79,46,63,63,20,38,59,40,59,65,54,45,54,67,59,62,46,87,48,53,70,37,63,65,6,35,49,63,69,76,44,44,35,35,47,47,68,54,77,58,28,69,57,55,29,50,57,61,43,34,13,41,58,63,64,27,75,34,27,60,79,65,63,24,26,41,42,40,47,38,30,61,31,19,48,34,59,49,59,47,58,70,82,45,50,68,52,54,67,63,75,41,64,80,71,68,74,65,6
2004-09-01,68,54,87,63,47,58,84,69,77,41,55,83,49,77,67,82,93,74,70,87,90,91,56,67,71,22,45,78,39,58,71,60,56,69,78,76,95,56,94,71,55,78,53,75,96,6,26,58,66,76,70,49,48,39,39,53,76,85,76,88,64,43,82,68,60,29,55,78,74,70,46,14,46,62,57,86,27,88,50,33,66,63,63,67,30,28,44,50,47,48,43,32,68,32,21,51,38,88,58,82,48,66,92,73,54,60,64,63,57,95,64,88,44,63,80,62,54,65,74,6
